Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152555,3/29/2016,4/2/2016,Second Class,ME-17320,Maria Etezadi,Home Office,United States,Chicago,Illinois,60653,Central,OFF-PA-10001295,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,$45.53 ,3,0.2,15.9348
CA-2016-105732,9/13/2016,9/18/2016,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,Omaha,Nebraska,68104,Central,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",$373.08 ,6,0,100.7316
CA-2017-133333,9/18/2017,9/22/2017,Standard Class,BF-11020,Barry Französisch,Corporate,United States,Green Bay,Wisconsin,54302,Central,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",$22.72 ,4,0,10.224
CA-2015-113971,5/8/2015,5/14/2015,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Cuyahoga Falls,Ohio,44221,EAST,FUR-FU-10001852,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",$8.35 ,6,0.2,1.2528
CA-2016-160717,6/6/2016,6/11/2016,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Santa Barbara,California,93101,WEST,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,"$3,023.93 ",9,0.2,226.7946
CA-2016-129126,12/14/2016,12/19/2016,Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,10011,EAST,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,$14.62 ,2,0,6.7252
CA-2016-127138,3/12/2016,3/15/2016,second class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,94109,WEST,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",$676.55 ,5,0,6.7655
CA-2017-155089,12/2/2017,12/6/2017,Standard Class,DB-12910,Daniel Byrd,Home Office,United States,Tampa,Florida,33614,South,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",$45.66 ,5,0.7,-33.484
CA-2016-139395,12/12/2016,12/18/2016,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Jackson,Michigan,49201,Central,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,$657.93 ,7,0,184.2204
US-2017-128118,11/24/2017,12/1/2017,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Memphis,Tennessee,38109,South,OFF-BI-10000216,Office Supplies,Binders,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",$11.67 ,3,0.7,($7.78)
CA-2014-103429,5/30/2014,6/1/2014,First Class,LW-16825,Laurel Workman,Corporate,United States,New York City,New York,10024,EAST,OFF-PA-10001712,Office Supplies,Paper,Xerox 1948,$39.96 ,4,0,17.982
CA-2014-111899,5/4/2014,5/5/2014,First Class,NC-18340,Nat Carroll,Consumer,United States,Houston,Texas,77036,Central,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,$5.47 ,6,0.2,1.8468
CA-2014-156160,9/22/2014,9/29/2014,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,10035,EAST,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,$3.98 ,1,0.2,1.3944
CA-2016-114405,4/7/2016,4/12/2016,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Philadelphia,Pennsylvania,19120,EAST,OFF-ST-10001627,Office Supplies,Storage,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,$36.74 ,3,0.2,3.6744
CA-2015-124800,9/26/2015,9/30/2015,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Mesa,Arizona,85204,WEST,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,$363.65 ,4,0.2,-86.3664
CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785,Maya Herman,Corporate,United States,Lindenhurst,New York,11757,EAST,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",$55.48 ,1,0,26.6304
CA-2015-148635,7/25/2015,7/27/2015,Second Class,MH-18025,Michelle Huthwaite,Consumer,United States,Seattle,Washington,98115,WEST,OFF-PA-10004782,Office Supplies,Paper,Xerox 228,$12.96 ,2,0,6.2208
CA-2015-103093,2/3/2015,2/7/2015,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Columbus,Georgia,31907,South,OFF-EN-10003286,Office Supplies,Envelopes,Staple envelope,$74.52 ,9,0,35.0244
CA-2014-139017,5/11/2014,5/17/2014,Standard Class,RM-19375,Raymond Messe,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10001013,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,$46.86 ,2,0.2,7.6154
US-2017-154872,5/14/2017,5/18/2017,Standard Class,DP-13000,Darren Powers,Consumer,United States,Cleveland,Ohio,44105,EAST,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",$58.17 ,5,0.7,-46.536
CA-2016-109827,12/25/2016,1/1/2017,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Phoenix,Arizona,85023,WEST,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,$35.45 ,1,0.5,-24.1026
CA-2016-108959,3/10/2016,3/14/2016,Second Class,MH-17785,Maya Herman,#Corporate//,United States,Glendale,Arizona,85301,WEST,OFF-ST-10001272,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",$104.70 ,1,0.2,6.5435
CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630,Doug Jacobs,Consumer,United States,New York City,New York,10024,EAST,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,$68.60 ,4,0,18.522
US-2015-163685,6/1/2015,6/5/2015,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,San Antonio,Texas,78207,Central,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,$42.24 ,10,0.2,$13.20 
CA-2015-137526,1/13/2015,1/17/2015,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,WEST,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",$77.60 ,4,0,$38.02 
CA-2017-121160,11/4/2017,11/4/2017,Same Day,FM-14290,Frank Merwin,Home Office,United States,Bryan,Texas,77803,Central,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Labels,$1.41 ,2,0.8,-2.3232
CA-2014-131947,9/17/2014,9/22/2014,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,97477,WEST,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$55.92 ,10,0.2,16.776
CA-2016-129308,7/7/2016,7/13/2016,Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Philadelphia,Pennsylvania,19120,EAST,OFF-LA-10002945,Office Supplies,Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",$10.08 ,2,0.2,3.276
US-2017-158512,1/12/2017,1/17/2017,second class,DA-13450,Dianna Arnett,Home Office,United States,Washington,District of Columbia,20016,EAST,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,$40.08 ,6,0,19.2384
CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110,WEST,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",$92.52 ,6,0,24.9804
CA-2017-160927,1/29/2017,1/31/2017,second class,TM-21010,Tamara Manning,Consumer,United States,Marion,Iowa,52302,Central,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",$13.48 ,1,0,3.5048
CA-2017-166317,9/22/2017,9/26/2017,Standard Class,JE-15610,Jim Epp,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,$33.04 ,8,0,15.5288
US-2016-104794,12/16/2016,12/19/2016,First Class,KD-16495,Keith Dawkins,Corporate,United States,New York City,New York,10009,EAST,OFF-FA-10001754,Office Supplies,Fasteners,Stockwell Gold Paper Clips,$3.68 ,2,0,1.8032
CA-2014-129189,7/21/2014,7/25/2014,Standard Class,HM-14860,Harry Marie,Corporate,United States,Dallas,Texas,75217,Central,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,$657.93 ,5,0.3,-93.99
CA-2016-160220,10/20/2016,10/26/2016,standard class,JS-16030,Joy Smith,?Consumer?,United States,Trenton,Michigan,48183,Central,OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,$20.86 ,7,0,1.4602
CA-2016-146150,2/14/2016,2/19/2016,Standard Class,FM-14380,Fred McMath,Consumer,United States,Jackson,Mississippi,39212,South,OFF-AR-10002240,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,$264.18 ,7,0,68.6868
US-2016-113677,11/13/2016,11/19/2016,Standard Class,CM-12655,Corinna Mitchell,Home Office,United States,New York City,New York,10011,EAST,OFF-LA-10001569,Office Supplies,Labels,Avery 499,$14.94 ,3,0,6.8724
CA-2017-103611,9/12/2017,9/15/2017,First Class,JM-15535,Jessica Myrick,Consumer,United States,Los Angeles,California,90036,WEST,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",$8.36 ,2,0,$3.01 
CA-2015-113628,11/12/2015,11/19/2015,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,33317,South,OFF-BI-10002799,Office Supplies,Binders,"SlimView Poly Binder, 3/8""",$4.66 ,3,0.7,($3.73)
US-2017-153633,11/13/2017,11/18/2017,Second Class,TC-21295,Toby Carlisle,Consumer,United States,Jupiter,Florida,33458,South,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,$2.06 ,1,0.2,0.1548
CA-2014-164182,7/14/2014,7/18/2014,Standard Class,ST-20530,Shui Tom,Consumer,United States,Philadelphia,Pennsylvania,19140,EAST,FUR-FU-10001057,Furniture,Furnishings,Tensor Track Tree Floor Lamp,$31.98 ,2,0.2,1.1994
CA-2014-104738,12/30/2014,1/1/2015,Second Class,SP-20620,Stefania Perrino,?Corporate?,United States,Laredo,Texas,78041,Central,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,$47.98 ,2,0.2,14.3952
CA-2016-109365,11/3/2016,11/8/2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,WEST,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,$15.26 ,7,0,5.0358
CA-2017-128426,10/7/2017,10/11/2017,Standard Class,JK-15730,Joe Kamberova,Consumer,United States,Houston,Texas,77036,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$4.24 ,5,0.8,-6.36
CA-2014-158540,11/24/2014,11/26/2014,First Class,VG-21790,Vivek Gonzalez,Consumer,United States,San Diego,California,92037,WEST,FUR-FU-10001602,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",$151.72 ,4,0,27.3096
CA-2016-157266,5/26/2016,6/1/2016,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,Washington,District of Columbia,20016,EAST,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$12.70 ,2,0,5.842
CA-2017-121258,2/26/2017,3/3/2017,Standard Class,DB-13060,Dave Brooks,Consumer,United States,Costa Mesa,California,92627,WEST,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,$91.96 ,2,0,15.6332
CA-2015-132276,2/23/2015,2/28/2015,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,New York City,New York,10024,EAST,OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,$26.88 ,6,0,6.72
CA-2015-129917,10/2/2015,10/3/2015,First Class,HM-14980,Henry MacAllister,Consumer,United States,Los Angeles,California,90008,WEST,OFF-BI-10004828,Office Supplies,Binders,GBC Poly Designer Binding Covers,$53.57 ,4,0.2,19.4184
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,WEST,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$238.90 ,6,0.2,-26.8758
CA-2017-107909,9/1/2017,9/6/2017,Standard Class,SS-20875,Sung Shariari,Consumer,United States,Redmond,Washington,98052,WEST,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,$22.92 ,5,0.2,8.022
US-2016-110156,11/19/2016,11/24/2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-FA-10003495,Office Supplies,Fasteners,Staples,$58.37 ,12,0.2,21.888
US-2016-128195,8/4/2016,8/5/2016,First Class,RA-19285,Ralph Arnett,Consumer,United States,Peoria,Illinois,61604,Central,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,$3.98 ,5,0.8,-6.567
CA-2016-105732,9/13/2016,9/18/2016,standard class,AG-10270,Alejandro Grove,Consumer,United States,Omaha,Nebraska,68104,Central,OFF-LA-10004559,Office Supplies,Labels,Avery 49,$14.40 ,5,0,7.056
CA-2016-168893,11/3/2016,11/8/2016,Second Class,AP-10915,Arthur Prichep,Consumer,United States,Henderson,Kentucky,42420,South,OFF-AR-10001770,Office Supplies,Art,Economy #2 Pencils,$7.98 ,3,0,2.0748
US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",$97.26 ,4,0.8,-243.16
CA-2014-151162,12/5/2014,12/9/2014,Standard Class,EA-14035,Erin Ashbrook,Corporate,United States,Columbus,Ohio,43229,EAST,TEC-PH-10001809,Technology,Phones,Panasonic KX T7736-B Digital phone,$179.94 ,2,0.4,-44.985
US-2014-132745,10/1/2014,10/5/2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Reno,Nevada,89502,WEST,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,$4.71 ,1,0,0
CA-2014-143210,12/1/2014,12/3/2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,EAST,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,$271.90 ,2,0,78.851
US-2016-114293,11/21/2016,11/26/2016,Standard Class,JH-16180,Justin Hirsh,Consumer,United States,Gresham,Oregon,97030,WEST,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,$195.14 ,4,0.2,-12.196
CA-2017-144036,11/22/2017,11/26/2017,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Houston,Texas,77070,Central,OFF-AR-10000122,Office Supplies,Art,Newell 314,$35.71 ,8,0.2,$2.23 
CA-2017-118017,12/3/2017,12/6/2017,Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,WEST,OFF-AR-10003856,Office Supplies,Art,Newell 344,$13.34 ,6,0.2,1.0008
CA-2017-111808,12/16/2017,12/20/2017,Standard Class,AR-10510,Andrew Roberts,Consumer,United States,Tulsa,Oklahoma,74133,Central,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,$10.80 ,5,0,5.184
CA-2017-104731,7/21/2017,7/27/2017,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Salem,Virginia,24153,South,OFF-AR-10003727,Office Supplies,Art,Berol Giant Pencil Sharpener,$101.94 ,6,0,29.5626
CA-2015-145401,1/30/2015,2/4/2015,Standard Class,JP-15520,Jeremy Pistek,Consumer,United States,Houston,Texas,77070,Central,OFF-PA-10004405,Office Supplies,Paper,Rediform Voice Mail Log Books,$14.30 ,6,0.2,5.0064
CA-2017-164042,5/23/2017,5/27/2017,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Houston,Texas,77095,Central,OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving,$48.82 ,3,0.2,-11.5938
CA-2015-141936,8/7/2015,8/12/2015,Standard Class,PN-18775,Parhena Norris,Home Office,United States,Bakersfield,California,93309,WEST,OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,$19.15 ,3,0.2,6.4638
CA-2016-142097,10/15/2016,10/20/2016,standard class,QJ-19255,Quincy Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,$66.54 ,6,0,32.6046
US-2017-140907,12/10/2017,12/12/2017,Second Class,BP-11185,Ben Peterman,Corporate,United States,Seattle,Washington,98103,WEST,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,$324.90 ,5,0,38.988
CA-2014-122931,9/29/2014,10/3/2014,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Philadelphia,Pennsylvania,19134,EAST,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,$20.93 ,4,0.2,6.8016
CA-2015-109575,9/18/2015,9/23/2015,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Clinton,Maryland,20735,EAST,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,$41.96 ,2,0,7.9724
CA-2015-115399,12/19/2015,12/22/2015,First Class,AG-10900,Arthur Gainer,Consumer,United States,Philadelphia,Pennsylvania,19134,EAST,OFF-LA-10003190,Office Supplies,Labels,Avery 474,$6.91 ,3,0.2,2.5056
CA-2016-164091,9/17/2016,9/22/2016,STANDARD CLASS,LA-16780,Laura Armstrong,Corporate,United States,Bangor,Maine,4401,EAST,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",$109.48 ,2,0,33.9388
CA-2017-100111,9/20/2017,9/26/2017,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,10035,EAST,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,$72.64 ,2,0,$21.79 
CA-2016-152072,1/15/2016,1/19/2016,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,7090,EAST,OFF-AR-10001573,Office Supplies,Art,American Pencil,$4.66 ,2,0,1.3514
CA-2015-146255,3/7/2015,3/10/2015,First Class,EM-14140,Eugene Moren,Home Office,United States,Newark,Delaware,19711,EAST,TEC-PH-10001619,Technology,Phones,LG G3,$587.97 ,3,0,170.5113
CA-2017-121489,8/21/2017,8/25/2017,Second Class,CM-11815,Candace McMahon,#Corporate//,United States,Seattle,Washington,98115,WEST,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,$572.58 ,6,0,34.3548
CA-2015-123141,11/14/2015,11/19/2015,Standard Class,GZ-14470,Gary Zandusky,Consumer,United States,Rio Rancho,New Mexico,87124,WEST,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,$230.35 ,3,0.2,20.1558
CA-2016-145898,9/26/2016,9/26/2016,Same Day,CM-12445,Chuck Magee,#Consumer//,United States,Redlands,California,92374,WEST,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),$29.90 ,5,0,13.455
CA-2017-128335,9/29/2017,10/5/2017,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Mount Vernon,New York,10550,EAST,OFF-PA-10004996,Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",$51.55 ,5,0,24.2285
US-2017-149006,12/6/2017,12/8/2017,Second Class,BN-11470,Brad Norvell,Corporate,United States,Brentwood,California,94513,WEST,OFF-ST-10003221,Office Supplies,Storage,Staple magnet,$10.68 ,1,0,2.8836
CA-2015-119508,12/4/2015,12/9/2015,Standard Class,TZ-21580,Tracy Zic,Consumer,United States,Lakewood,California,90712,WEST,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",$25.08 ,6,0,9.0288
CA-2014-148614,1/20/2014,1/25/2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,WEST,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",$19.36 ,2,0,9.2928
CA-2016-140018,11/21/2016,11/26/2016,Standard Class,CK-12205,Chloris Kastensmidt,Consumer,United States,Columbus,Ohio,43229,EAST,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",$77.95 ,3,0.2,15.5904
CA-2015-157322,7/2/2015,7/6/2015,Standard Class,RH-19600,Rob Haberlin,Consumer,United States,Carol Stream,Illinois,60188,Central,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",$11.17 ,2,0.2,3.7692
CA-2017-143686,5/14/2017,5/14/2017,Same Day,PJ-19015,Pauline Johnson,Consumer,United States,Santa Ana,California,92704,WEST,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,"$1,399.93 ",7,0,601.9699
CA-2017-163097,8/27/2017,8/31/2017,Standard Class,SF-20200,Sarah Foster,Consumer,United States,Mesa,Arizona,85204,WEST,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,$120.58 ,8,0.2,33.1584
CA-2014-103800,1/3/2014,1/7/2014,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",$16.45 ,2,0.2,5.5512
CA-2017-115427,12/30/2017,1/3/2018,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,94533,WEST,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",$13.90 ,2,0.2,$4.52 
US-2014-150532,7/14/2014,7/21/2014,Standard Class,PB-19150,Philip Brown,Consumer,United States,Phoenix,Arizona,85023,WEST,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$55.92 ,5,0.2,6.291
CA-2016-105459,8/12/2016,8/17/2016,Second Class,NP-18700,Nora Preis,Consumer,United States,New York City,New York,10024,EAST,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,$209.15 ,2,0.4,-66.2302
CA-2017-133004,8/31/2017,9/5/2017,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Lawrence,Indiana,46226,Central,OFF-AP-10002439,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,$638.73 ,9,0,166.0698
CA-2016-130946,4/8/2016,4/12/2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,"$1,088.79 ",4,0.8,"($1,850.95)"
CA-2014-164182,7/14/2014,7/18/2014,Standard Class,ST-20530,Shui Tom,Consumer,United States,Philadelphia,Pennsylvania,19140,EAST,TEC-PH-10002583,Technology,Phones,iOttie HLCRIO102 Car Mount,$23.99 ,2,0.4,-13.993
